Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
571 Primary ethylene polymers,2018-09,1022.0350000000001,290.722,63495.33700000001,21.164,1.3,-1.3,0.4,1.9
572 Primary styrene polymers,2018-09,394.12300000000005,14.358,13661.952000000001,7.185,1.3,-1.3,0.4,1.9
573 Primary vinyl chloride polymers,2018-09,260.06699999999995,,30142.463999999996,368.968,1.3,-1.3,0.4,1.9
574 Primary polyacetals,2018-09,3814.3029999999994,329.939,34213.71,5948.64,1.3,-1.3,0.4,1.9
575 Other primary plastics,2018-09,14806.061000000002,1861.32,73525.68100000001,14069.199,1.3,-1.3,0.4,1.9
579 Primary plastic waste & scrap,2018-09,3712.7609999999995,113.503,676.392,80.823,1.3,-1.3,0.4,1.9
"581 Plastic tubes, pipes & hoses",2018-09,14091.149000000001,626.92,40507.248,14452.992,1.3,-1.3,0.4,1.9
"582 Plastic plates, sheets & film",2018-09,21237.197,703.679,140039.862,35343.014,1.3,-1.3,0.4,1.9
583 Plastic monofilament,2018-09,605.2780000000001,48.505,6721.042999999999,3367.219,1.3,-1.3,0.4,1.9
"591 Insecticides, herbicides, disinfectants",2018-09,26058.456999999995,1799.17,87859.65200000003,20709.267,1.3,-1.3,0.4,1.9
"592 Starches, inulin & wheat gluten",2018-09,52119.053,2553.753,31537.800000000003,3910.701,1.3,-1.3,0.4,1.9
593 Explosives & pyrotechnics,2018-09,2939.588,,18161.056999999997,2823.956,1.3,-1.3,0.4,1.9
597 Prepared additives for mineral oils,2018-09,8844.978999999998,501.73,28645.102999999996,1518.176,1.3,-1.3,0.4,1.9
"598 Miscellaneous chemical products, nes",2018-09,20083.436,1702.208,98802.61700000001,10692.057,1.3,-1.3,0.4,1.9
599 Residual chemical wastes,2018-09,95.742,,2.777,,1.3,-1.3,0.4,1.9
611 Leather,2018-09,11991.061000000002,2974.016,4950.406999999999,23.712,1.3,-1.3,0.4,1.9
612 Leather manufactures,2018-09,905.212,,5764.607000000001,3045.245,1.3,-1.3,0.4,1.9
"613 Furskins, tanned or dressed",2018-09,17.643,,1112.6399999999999,487.165,1.3,-1.3,0.4,1.9
621 Materials of rubber,2018-09,7223.23,696.74,30860.175999999996,3342.618,1.3,-1.3,0.4,1.9
"625 Rubber tyres, treads & tubes",2018-09,8148.5430000000015,64.698,236558.86599999995,60989.147,1.3,-1.3,0.4,1.9
"629 Rubber articles, nes",2018-09,11230.894,360.338,56051.327999999994,12377.998,1.3,-1.3,0.4,1.9
633 Cork manufactures,2018-09,31.321,,3030.6009999999997,187.621,1.3,-1.3,0.4,1.9
"634 Veneers, plywood & particle board",2018-09,7527.851,628.503,60034.20200000001,26172.013,1.3,-1.3,0.4,1.9
"635 Wood manufactures, nes",2018-09,2925.873999999999,161.019,63247.86699999999,27124.258,1.3,-1.3,0.4,1.9
641 Paper & paperboard,2018-09,73604.03,14158.272,143051.833,30102.615,1.3,-1.3,0.4,1.9
"642 Paper & paperboard, cut to size",2018-09,13055.13,163.437,132850.73599999998,66278.247,1.3,-1.3,0.4,1.9
651 Textile yarn,2018-09,944.8880000000001,44.703,20580.489,5737.012,1.3,-1.3,0.4,1.9
"652 Cotton fabrics, woven",2018-09,776.808,5.976,7015.272999999999,2735.209,1.3,-1.3,0.4,1.9
"653 Man-made fabrics, woven",2018-09,2447.761,370.31,15597.635000000004,6435.721,1.3,-1.3,0.4,1.9
"654 Other textile fabrics, woven",2018-09,782.483,58.786,6050.718999999999,1852.491,1.3,-1.3,0.4,1.9
655 Knitted or crocheted fabrics,2018-09,471.63599999999997,,8470.565999999999,3078.326,1.3,-1.3,0.4,1.9
"656 Tulles, lace & ribbons",2018-09,86.24,2.684,4005.0029999999997,2293.47,1.3,-1.3,0.4,1.9
657 Special yarns & fabrics,2018-09,5487.598,436.033,50444.85199999999,21340.638,1.3,-1.3,0.4,1.9
"658 Made-up textile articles, nes",2018-09,5225.97,780.147,162427.99899999998,107970.676,1.3,-1.3,0.4,1.9
659 Floor coverings,2018-09,3626.9770000000003,4.857,47128.75100000001,13337.992,1.3,-1.3,0.4,1.9
"661 Lime, cement & construction materials",2018-09,2027.671,9.8,56626.5,16750.071,1.3,-1.3,0.4,1.9
662 Clay construction materials,2018-09,3353.162,,52496.39000000001,28081.094,1.3,-1.3,0.4,1.9
"663 Mineral manufactures, nes",2018-09,7859.546,7.741,73826.693,28746.124,1.3,-1.3,0.4,1.9
664 Glass,2018-09,3622.6670000000004,50.483,48282.89300000001,26629.846,1.3,-1.3,0.4,1.9
665 Glassware,2018-09,3993.6380000000013,521.607,40413.46100000001,18700.362,1.3,-1.3,0.4,1.9
666 Pottery,2018-09,942.5409999999999,7.453,18576.950999999997,14902.129,1.3,-1.3,0.4,1.9
667 Pearls & gems,2018-09,73356.506,534.468,65569.495,439.552,1.3,-1.3,0.4,1.9
