Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
781 Passenger motor vehicles,2019-06,45172.367000000006,924.128,1663805.867,36755.096,1.8,-0.4,0.7,1.6
782 Goods vehicles,2019-06,30454.327,,810176.829,13842.284,1.8,-0.4,0.7,1.6
"783 Road motor vehicles, nes",2019-06,11399.067000000001,,43845.592000000004,5168.073,1.8,-0.4,0.7,1.6
784 Vehicle parts & accessories,2019-06,84561.89400000001,2594.93,256769.04400000005,39153.297,1.8,-0.4,0.7,1.6
785 Motorcycles & cycles,2019-06,9448.601,402.746,85966.71900000001,17732.164,1.8,-0.4,0.7,1.6
"786 Trailers, semi-trailers & containers",2019-06,11693.807999999997,502.965,84332.32400000001,52766.508,1.8,-0.4,0.7,1.6
791 Railway vehicles (incl hovertrains),2019-06,4885.169,1138.94,56823.29099999999,17058.675,1.8,-0.4,0.7,1.6
"792 Aircraft, spacecraft & parts",2019-06,351048.02499999997,1344.87,158645.31600000002,5667.884,1.8,-0.4,0.7,1.6
"793 Ships, boats & floating structures",2019-06,31114.375000000004,429.149,100803.166,1731.004,1.8,-0.4,0.7,1.6
811 Prefabricated buildings,2019-06,3421.0199999999995,281.312,7011.069,4839.823,1.8,-0.4,0.7,1.6
"812 Sanitary, plumbing & heating fittings",2019-06,1392.2330000000002,129.948,22021.952999999998,12145.579,1.8,-0.4,0.7,1.6
813 Lighting fixtures & fittings,2019-06,10434.364999999998,436.017,94179.879,69213.254,1.8,-0.4,0.7,1.6
"821 Furniture, mattresses & cushions",2019-06,16666.377999999993,2470.06,373209.756,264277.788,1.8,-0.4,0.7,1.6
"831 Travel goods, bags & like containers",2019-06,6139.786000000001,33.726,133955.86700000006,64068.208,1.8,-0.4,0.7,1.6
841 Men's clothing (excl knitted),2019-06,2485.1629999999996,2.317,111930.40600000006,67077.601,1.8,-0.4,0.7,1.6
842 Women's clothing (excl knitted),2019-06,6350.175,9.118,157717.41299999997,105934.621,1.8,-0.4,0.7,1.6
"843 Men's clothing, knitted",2019-06,1353.1589999999999,97.657,45578.878,29159.451,1.8,-0.4,0.7,1.6
"844 Women's clothing, knitted",2019-06,1798.7559999999992,21.685,75942.137,50345.885,1.8,-0.4,0.7,1.6
845 Other textile clothing,2019-06,7834.67,34.204,245044.82900000003,160124.028,1.8,-0.4,0.7,1.6
846 Textile clothing accessories,2019-06,1663.5109999999997,143.583,37499.35,25259.79,1.8,-0.4,0.7,1.6
"848 Clothing accessories, nes",2019-06,6656.007999999999,318.522,53920.29799999998,26744.409,1.8,-0.4,0.7,1.6
851 Footwear,2019-06,9890.999000000002,942.992,181333.9090000001,88058.019,1.8,-0.4,0.7,1.6
871 Optical instruments,2019-06,8082.617000000003,253.216,32429.964,2572.485,1.8,-0.4,0.7,1.6
872 Medical instruments (incl veterinary),2019-06,146570.733,6855.56,295589.748,28005.829,1.8,-0.4,0.7,1.6
873 Meters & counters,2019-06,769.3680000000002,3.111,16965.266999999996,3858.697,1.8,-0.4,0.7,1.6
874 Measuring & analysing instruments,2019-06,210862.748,11127.65,336911.163,28420.18,1.8,-0.4,0.7,1.6
881 Photographic equipment,2019-06,3775.464,19.267,5609.482999999999,1254.981,1.8,-0.4,0.7,1.6
882 Photo & cinematographic supplies,2019-06,1149.769,93.356,11073.380000000001,2053.895,1.8,-0.4,0.7,1.6
"883 Cinematographic film, developed",2019-06,,,,,1.8,-0.4,0.7,1.6
"884 Optical goods, nes",2019-06,21440.439,547.525,83402.70099999999,31473.236,1.8,-0.4,0.7,1.6
885 Watches & clocks,2019-06,11046.004,36.665,60694.51400000001,10337.271,1.8,-0.4,0.7,1.6
891 Arms & ammunition,2019-06,25693.246000000003,,47379.748,578.736,1.8,-0.4,0.7,1.6
892 Printed matter,2019-06,26116.314000000002,327.256,73035.06000000001,23401.471,1.8,-0.4,0.7,1.6
"893 Plastic articles, nes",2019-06,50998.976,5788.38,287717.00100000005,161434.364,1.8,-0.4,0.7,1.6
"894 Prams, toys, games & sporting goods",2019-06,48787.513999999996,153.049,228481.00700000004,162033.731,1.8,-0.4,0.7,1.6
"895 Office & stationery supplies, nes",2019-06,2153.67,37.341,16136.642000000003,7756.916,1.8,-0.4,0.7,1.6
896 Artwork & antiques,2019-06,8403.761,3.465,15668.112,387.666,1.8,-0.4,0.7,1.6
897 Jewellery,2019-06,40143.102,443,101672.98999999998,16568.476,1.8,-0.4,0.7,1.6
898 Musical instruments & parts,2019-06,13615.763000000003,1029.16,62717.151000000005,17950.458,1.8,-0.4,0.7,1.6
"899 Misc manufactured articles, nes",2019-06,48800.148,10357.8,210710.8889999999,39988.077,1.8,-0.4,0.7,1.6
931 Special transactions & commodities,2019-06,103945.81199999999,1408.18,171.55400000000003,,1.8,-0.4,0.7,1.6
951 Gold coin & legal tender coin,2019-06,21317.071000000004,,2084.2799999999997,17.282,1.8,-0.4,0.7,1.6
961 Coin (excl gold coin) not legal tender,2019-06,164.559,,453.27299999999997,8.302,1.8,-0.4,0.7,1.6
971 Gold,2019-06,1629381.731,414806.67,610388.603,80.742,1.8,-0.4,0.7,1.6
988 Confidential items of trade,2019-06,351109.39900000126,1654747.9,351930.63300000015,50093.29,1.8,-0.4,0.7,1.6
Grand Total,2019-06,35091905.57899998,14304171.482000005,23658315.76699999,5808809.668999994,1.8,-0.4,0.7,1.6
001 Live animals (excl seafood),2020-03,175879.76399999997,28029.74,8064.7480000000005,,-4.2,-7.2,-0.3,2.2
"011 Beef, f.c.f.",2020-03,948078.018,178701.63,1532.5929999999998,,-4.2,-7.2,-0.3,2.2
"012 Meat (excl beef), f.c.f.",2020-03,500349.5739999999,87224.91,84329.17700000001,,-4.2,-7.2,-0.3,2.2
"016 Meat, salted or dried",2020-03,70.038,,4494.726,,-4.2,-7.2,-0.3,2.2
"017 Meat, prepared or preserved",2020-03,11901.942000000001,101.49,10859.779,267.735,-4.2,-7.2,-0.3,2.2
"022 Milk, cream, whey & yoghurt",2020-03,147495.40899999996,38706.42,51001.408,147.839,-4.2,-7.2,-0.3,2.2
023 Butter,2020-03,11753.179,395.092,29019.133999999995,,-4.2,-7.2,-0.3,2.2
024 Cheese & curd,2020-03,86119.58699999997,4597.23,64829.52399999998,,-4.2,-7.2,-0.3,2.2
025 Birds' eggs,2020-03,494.19500000000005,,1654.8899999999999,203.995,-4.2,-7.2,-0.3,2.2
"034 Fish, f.c.f.",2020-03,19779.614,5680.06,38573.517,1006.73,-4.2,-7.2,-0.3,2.2
"035 Fish, salted or dried",2020-03,386.412,,6461.206,69.9,-4.2,-7.2,-0.3,2.2
"036 Crustaceans, f.c.f.",2020-03,27319.959,15043.83,35060.28700000001,6519.26,-4.2,-7.2,-0.3,2.2
"037 Seafood, prepared or preserved",2020-03,3366.567,,69906.94499999999,4511.09,-4.2,-7.2,-0.3,2.2
041 Wheat,2020-03,434350.056,155966.69,21314.203,,-4.2,-7.2,-0.3,2.2
042 Rice,2020-03,13387.74,,26330.192000000003,301.489,-4.2,-7.2,-0.3,2.2
043 Barley,2020-03,94331.956,47875.02,16.399,3.994,-4.2,-7.2,-0.3,2.2
044 Maize,2020-03,728.7669999999999,,464.60299999999995,,-4.2,-7.2,-0.3,2.2
045 Other cereals,2020-03,1834.1610000000005,38.284,2286.618,19.903,-4.2,-7.2,-0.3,2.2
046 Wheat flour,2020-03,1907.273,198.97,2410.355,34.001,-4.2,-7.2,-0.3,2.2
047 Other cereal flours,2020-03,1401.4649999999995,11.1,2477.7050000000004,11.784,-4.2,-7.2,-0.3,2.2
048 Cereal preparations,2020-03,92262.36899999999,5988.69,118927.86100000002,5007.62,-4.2,-7.2,-0.3,2.2
"054 Vegetables, f.c.f.",2020-03,150254.22999999998,2.448,31174.12200000001,6135.43,-4.2,-7.2,-0.3,2.2
"056 Vegetables, prepared or preserved",2020-03,8541.260999999999,46.208,71254.02699999997,8530.14,-4.2,-7.2,-0.3,2.2
057 Fruit & nuts,2020-03,247502.91700000002,107537.22,69421.73499999997,2308.71,-4.2,-7.2,-0.3,2.2
"058 Fruit, prepared or preserved",2020-03,6253.124999999999,130.741,57885.36000000001,3926.04,-4.2,-7.2,-0.3,2.2
059 Fruit juices,2020-03,4922.240000000001,362.11,20191.205,4832.75,-4.2,-7.2,-0.3,2.2
"061 Sugars, molasses & honey",2020-03,14743.318000000001,2696.95,17574.540999999997,3606.89,-4.2,-7.2,-0.3,2.2
062 Sugar confectionery,2020-03,7676.809,518.342,21378.416000000005,5283.92,-4.2,-7.2,-0.3,2.2
071 Coffee & substitutes,2020-03,5753.52,116.537,76438.79199999999,44.809,-4.2,-7.2,-0.3,2.2
072 Cocoa,2020-03,616.923,,38462.05400000001,,-4.2,-7.2,-0.3,2.2
073 Chocolate & preparations of cocoa,2020-03,28709.528,608.233,49538.611,3909.91,-4.2,-7.2,-0.3,2.2
074 Tea & mate,2020-03,1660.8369999999998,41.099,18870.046000000002,454.299,-4.2,-7.2,-0.3,2.2
075 Spices,2020-03,1783.731,18.725,11775.713000000002,562.127,-4.2,-7.2,-0.3,2.2
081 Animal feed,2020-03,129718.56800000001,21133.08,147203.82,1773.86,-4.2,-7.2,-0.3,2.2
091 Margarine,2020-03,13606.419,353.316,6747.6320000000005,2.51,-4.2,-7.2,-0.3,2.2
"098 Edible products & preparations, nes",2020-03,292964.35300000006,131869.79,324145.52499999997,15594.95,-4.2,-7.2,-0.3,2.2
"111 Non-alcoholic beverages, nes",2020-03,7698.293999999997,451.539,38182.31600000001,383.202,-4.2,-7.2,-0.3,2.2
112 Alcoholic beverages,2020-03,200451.80699999997,47159.37,143870.324,1678.14,-4.2,-7.2,-0.3,2.2
"121 Tobacco, unmanufactured",2020-03,,,,,-4.2,-7.2,-0.3,2.2
"122 Tobacco, manufactured",2020-03,1380.382,24.048,89385.415,64.492,-4.2,-7.2,-0.3,2.2
"211 Hides & skins, raw (excl furskins)",2020-03,45036.244999999995,39996.93,265.216,,-4.2,-7.2,-0.3,2.2
"212 Furskins, raw",2020-03,,,123.525,,-4.2,-7.2,-0.3,2.2
"222 Oil-seeds & oleaginous fruits, soft",2020-03,250836.73400000003,64951.07,7089.011,555.98,-4.2,-7.2,-0.3,2.2
"223 Oil-seeds & oleaginous fruits, hard",2020-03,738.0860000000001,,2735.7259999999997,737.938,-4.2,-7.2,-0.3,2.2
231 Natural rubber,2020-03,90.473,25,1600.0439999999999,11.234,-4.2,-7.2,-0.3,2.2
232 Synthetic rubber,2020-03,911.6850000000001,11.6,12043.675,865.902,-4.2,-7.2,-0.3,2.2
244 Cork,2020-03,4.88,,33.522,,-4.2,-7.2,-0.3,2.2
245 Fuel wood,2020-03,143.49999999999997,,1168.8020000000001,55.22,-4.2,-7.2,-0.3,2.2
246 Wood in chips or particles,2020-03,111274.102,62849.27,835.5989999999999,5.855,-4.2,-7.2,-0.3,2.2
"247 Wood, rough",2020-03,41387.587,40611.39,,,-4.2,-7.2,-0.3,2.2
"248 Wood, simply worked",2020-03,8460.933,1056.35,60917.342,6313.02,-4.2,-7.2,-0.3,2.2
251 Pulp & waste paper,2020-03,20267.712,3194.41,18674.107,,-4.2,-7.2,-0.3,2.2
261 Silk,2020-03,,,,,-4.2,-7.2,-0.3,2.2
263 Cotton,2020-03,41057.611999999994,13878.02,62.63,,-4.2,-7.2,-0.3,2.2
264 Jute,2020-03,0.075,,,,-4.2,-7.2,-0.3,2.2
265 Other vegetable textile fibres,2020-03,,,798.62,,-4.2,-7.2,-0.3,2.2
266 Synthetic fibres,2020-03,102.536,,6503.144,379.97,-4.2,-7.2,-0.3,2.2
267 Other man-made fibres,2020-03,115,,307.662,,-4.2,-7.2,-0.3,2.2
268 Wool & other animal hair (incl tops),2020-03,317544.148,244500.75,671.864,48.192,-4.2,-7.2,-0.3,2.2
269 Worn clothing & rags,2020-03,7544.593999999998,,1405.7079999999996,32.214,-4.2,-7.2,-0.3,2.2
272 Crude fertilisers,2020-03,1320.1270000000002,2.88,4724.417,105.532,-4.2,-7.2,-0.3,2.2
"273 Stone, sand & gravel",2020-03,13350.199,159.87,2473.7509999999997,96.396,-4.2,-7.2,-0.3,2.2
274 Sulphur & iron pyrites,2020-03,20.444,,7953.2970000000005,,-4.2,-7.2,-0.3,2.2
277 Natural abrasives,2020-03,6913.362000000002,,305.596,58.618,-4.2,-7.2,-0.3,2.2
"278 Crude minerals, nes",2020-03,122884.074,90886.03,9120.676000000001,1706.34,-4.2,-7.2,-0.3,2.2
280 Confidential mineral ores,2020-03,345577.02,,,,-4.2,-7.2,-0.3,2.2
281 Iron ores & concentrates,2020-03,9212525.575,7587745.12,,,-4.2,-7.2,-0.3,2.2
282 Ferrous waste & scrap,2020-03,109752.857,312.828,143.084,,-4.2,-7.2,-0.3,2.2
283 Copper ores & concentrates,2020-03,637165.0700000001,223485.55,1340.821,,-4.2,-7.2,-0.3,2.2
284 Nickel ores & concentrates,2020-03,33073.7,33073.7,1.394,,-4.2,-7.2,-0.3,2.2
285 Aluminium ores & conc (incl alumina),2020-03,761698.712,134283.67,549.904,137.438,-4.2,-7.2,-0.3,2.2
287 Other ores & concentrates,2020-03,300440.833,161773.63,41645.746999999996,67.741,-4.2,-7.2,-0.3,2.2
288 Non-ferrous waste & scrap,2020-03,138220.273,25378.05,2258.2560000000003,63.3,-4.2,-7.2,-0.3,2.2
289 Precious metal ores & conc (excl gold),2020-03,139543.924,5641.41,518.412,,-4.2,-7.2,-0.3,2.2
"291 Crude animal matter, nes",2020-03,33516.615,8053.27,10522.388000000003,2678.61,-4.2,-7.2,-0.3,2.2
"292 Crude vegetable matter, nes",2020-03,17920.175999999996,682.236,48559.84500000001,5827.38,-4.2,-7.2,-0.3,2.2
321 Coal,2020-03,4823291.13,971294.67,10604.983,64.083,-4.2,-7.2,-0.3,2.2
"322 Briquettes, lignite & peat",2020-03,40.367,,1666.151,,-4.2,-7.2,-0.3,2.2
325 Coke & semi-coke,2020-03,,,4229.617,4186.64,-4.2,-7.2,-0.3,2.2
333 Crude petroleum,2020-03,632838.571,30570.11,759822.0900000001,,-4.2,-7.2,-0.3,2.2
334 Refined petroleum,2020-03,149866.057,13318.82,1321311.6720000005,164967.55,-4.2,-7.2,-0.3,2.2
"335 Residual petroleum products, nes",2020-03,3312.628,,65387.770000000004,19319.1,-4.2,-7.2,-0.3,2.2
342 Liquefied propane & butane,2020-03,131347.57,,35264.67799999999,,-4.2,-7.2,-0.3,2.2
343 Natural gas,2020-03,4426526.26,,207.931,,-4.2,-7.2,-0.3,2.2
344 Petroleum gases,2020-03,3075.271,,417.637,38.88,-4.2,-7.2,-0.3,2.2
"345 Coal gas, water gas & similar gases",2020-03,,,,,-4.2,-7.2,-0.3,2.2
411 Animal oils & fats,2020-03,57994.24199999999,2687.77,6271.647999999999,1885.89,-4.2,-7.2,-0.3,2.2
"421 Fixed vegetable oils & fats, soft",2020-03,23243.481999999996,137.012,30813.489,155.201,-4.2,-7.2,-0.3,2.2
"422 Fixed vegetable oils & fats, hard",2020-03,648.484,394.379,20746.935,1034.74,-4.2,-7.2,-0.3,2.2
"431 Other animal or veg oils, fats & waxes",2020-03,2360.579,,4600.695999999999,319.046,-4.2,-7.2,-0.3,2.2
511 Hydrocarbons & derivatives,2020-03,93.56800000000001,,8644.904,1762.7,-4.2,-7.2,-0.3,2.2
"512 Alcohols, phenols & derivatives",2020-03,8366.370999999997,26.477,25052.291,5012.52,-4.2,-7.2,-0.3,2.2
513 Carboxylic acids & derivatives,2020-03,4456.280000000001,,34420.25600000001,18094.66,-4.2,-7.2,-0.3,2.2
514 Nitrogen-function compounds,2020-03,2883.0389999999993,208.07,46851.19600000001,21989.77,-4.2,-7.2,-0.3,2.2
515 Organo-inorganic compounds,2020-03,218.07199999999997,,105834.62400000001,59804.53,-4.2,-7.2,-0.3,2.2
516 Other organic chemicals,2020-03,1706.7539999999997,501.955,15677.014,4320.17,-4.2,-7.2,-0.3,2.2
522 Inorganic chemical elements,2020-03,47378.89599999998,46.681,33055.411,7041.86,-4.2,-7.2,-0.3,2.2
523 Salts of inorganic acids & metals,2020-03,7812.832,,59705.499,19571.39,-4.2,-7.2,-0.3,2.2
524 Other inorganic chemicals,2020-03,1523.932,,4811.542,737.644,-4.2,-7.2,-0.3,2.2
525 Radioactive materials,2020-03,780.1669999999999,,4184.335999999999,67.432,-4.2,-7.2,-0.3,2.2
531 Synthetic organic colouring,2020-03,1469.876,27.555,5670.644,870.238,-4.2,-7.2,-0.3,2.2
532 Dyeing & tanning extracts,2020-03,603.046,,3270.897000000001,344.086,-4.2,-7.2,-0.3,2.2
"533 Pigments, paints & varnishes",2020-03,109979.83299999996,11364.87,88550.78200000002,11769.82,-4.2,-7.2,-0.3,2.2
541 Pharm products (excl medicaments),2020-03,336973.7210000001,43342.14,702369.0989999999,17194.41,-4.2,-7.2,-0.3,2.2
542 Medicaments (incl veterinary),2020-03,261954.612,137312.7,722955.002,12247.17,-4.2,-7.2,-0.3,2.2
551 Essential oils & perfumes,2020-03,15037.661000000002,1628.92,29029.200999999997,5245.18,-4.2,-7.2,-0.3,2.2
553 Perfumery & cosmetics (excl soap),2020-03,98204.293,18013.18,214830.69699999996,10673.26,-4.2,-7.2,-0.3,2.2
554 Soap & cleansers,2020-03,43344.941999999995,11026.68,85077.66700000002,14545.74,-4.2,-7.2,-0.3,2.2
562 Fertilisers (excl crude),2020-03,8410.795999999998,287.588,242363.51299999998,71021.87,-4.2,-7.2,-0.3,2.2
571 Primary ethylene polymers,2020-03,1011.481,258.517,51730.16700000001,26.719,-4.2,-7.2,-0.3,2.2
572 Primary styrene polymers,2020-03,766.279,10.493,11635.063,579.18,-4.2,-7.2,-0.3,2.2
573 Primary vinyl chloride polymers,2020-03,658.775,26.429,33540.905999999995,289.886,-4.2,-7.2,-0.3,2.2
574 Primary polyacetals,2020-03,2960.6440000000007,44.007,44995.50600000002,1959.91,-4.2,-7.2,-0.3,2.2
575 Other primary plastics,2020-03,21230.670000000002,911.256,76064.029,18285.14,-4.2,-7.2,-0.3,2.2
579 Primary plastic waste & scrap,2020-03,2583.0600000000004,,386.099,,-4.2,-7.2,-0.3,2.2
"581 Plastic tubes, pipes & hoses",2020-03,16205.862000000005,243.151,38988.245,8711.82,-4.2,-7.2,-0.3,2.2
"582 Plastic plates, sheets & film",2020-03,13485.158999999992,98.025,128537.067,22480.35,-4.2,-7.2,-0.3,2.2
583 Plastic monofilament,2020-03,1003.157,4.912,5317.966000000001,1386.19,-4.2,-7.2,-0.3,2.2
"591 Insecticides, herbicides, disinfectants",2020-03,17521.381,3663.04,70571.56,33416.91,-4.2,-7.2,-0.3,2.2
"592 Starches, inulin & wheat gluten",2020-03,70265.06499999999,8305.82,34078.700999999994,5699.12,-4.2,-7.2,-0.3,2.2
593 Explosives & pyrotechnics,2020-03,2977.4950000000003,,14822.195,3249.49,-4.2,-7.2,-0.3,2.2
597 Prepared additives for mineral oils,2020-03,11120.627000000004,681.655,37803.79499999999,1192.23,-4.2,-7.2,-0.3,2.2
"598 Miscellaneous chemical products, nes",2020-03,25711.95199999999,1136.81,126200.037,12402.02,-4.2,-7.2,-0.3,2.2
599 Residual chemical wastes,2020-03,156.53599999999997,,18.609,,-4.2,-7.2,-0.3,2.2
611 Leather,2020-03,16305.537,4854.03,4824.173000000001,7.273,-4.2,-7.2,-0.3,2.2
612 Leather manufactures,2020-03,1359.3830000000003,,4783.1,1722.59,-4.2,-7.2,-0.3,2.2
"613 Furskins, tanned or dressed",2020-03,0.104,,639.769,416.012,-4.2,-7.2,-0.3,2.2
621 Materials of rubber,2020-03,5580.632999999998,100.593,25487.49499999999,2008.23,-4.2,-7.2,-0.3,2.2
"625 Rubber tyres, treads & tubes",2020-03,6441.404999999999,26.506,272368.417,61091.48,-4.2,-7.2,-0.3,2.2
"629 Rubber articles, nes",2020-03,10724.042000000005,266.27,54624.278000000006,9637.24,-4.2,-7.2,-0.3,2.2
633 Cork manufactures,2020-03,172.11599999999999,,1777.214,16.075,-4.2,-7.2,-0.3,2.2
"634 Veneers, plywood & particle board",2020-03,8624.13,517.115,43424.06300000001,8996.02,-4.2,-7.2,-0.3,2.2
"635 Wood manufactures, nes",2020-03,3792.1160000000004,101.997,51327.16499999999,11811.49,-4.2,-7.2,-0.3,2.2
641 Paper & paperboard,2020-03,81250.409,15850.37,141275.29500000007,31552.62,-4.2,-7.2,-0.3,2.2
"642 Paper & paperboard, cut to size",2020-03,14238.962999999996,17.975,116107.93799999998,43912.37,-4.2,-7.2,-0.3,2.2
651 Textile yarn,2020-03,407.94100000000003,9.371,29514.922,9784.34,-4.2,-7.2,-0.3,2.2
"652 Cotton fabrics, woven",2020-03,601.813,0.257,5395.289,1209.81,-4.2,-7.2,-0.3,2.2
"653 Man-made fabrics, woven",2020-03,2252.5639999999994,306.203,11793.576000000003,2473.9,-4.2,-7.2,-0.3,2.2
"654 Other textile fabrics, woven",2020-03,1314.5769999999995,24.544,4426.219000000001,973.684,-4.2,-7.2,-0.3,2.2
655 Knitted or crocheted fabrics,2020-03,1523.828,0.009,5107.137,2025.33,-4.2,-7.2,-0.3,2.2
"656 Tulles, lace & ribbons",2020-03,362.94,32.79,2265.593,825.132,-4.2,-7.2,-0.3,2.2
657 Special yarns & fabrics,2020-03,9069.019999999999,1165.64,44980.542,14506.89,-4.2,-7.2,-0.3,2.2
"658 Made-up textile articles, nes",2020-03,7080.844,446.566,172754.43600000005,105563.12,-4.2,-7.2,-0.3,2.2
659 Floor coverings,2020-03,3926.4590000000003,33.982,39489.296,6632.59,-4.2,-7.2,-0.3,2.2
"661 Lime, cement & construction materials",2020-03,1273.5870000000002,,48280.994000000006,4528.96,-4.2,-7.2,-0.3,2.2
662 Clay construction materials,2020-03,3985.576,22.293,30477.014,11265.97,-4.2,-7.2,-0.3,2.2
"663 Mineral manufactures, nes",2020-03,7851.316000000002,1356.57,62455.267,14875.47,-4.2,-7.2,-0.3,2.2
664 Glass,2020-03,4241.393999999999,29.261,40582.10100000001,15851.79,-4.2,-7.2,-0.3,2.2
665 Glassware,2020-03,3682.346000000001,155.576,27806.209000000003,9916.44,-4.2,-7.2,-0.3,2.2
666 Pottery,2020-03,1312.6390000000001,,8304.607,5639.63,-4.2,-7.2,-0.3,2.2
667 Pearls & gems,2020-03,45106.92599999999,8.2,53807.42,305.234,-4.2,-7.2,-0.3,2.2
671 Pig-iron,2020-03,54.767999999999994,,10586.723,800.819,-4.2,-7.2,-0.3,2.2
672 Iron or steel ingots,2020-03,2006.0729999999999,,170.252,,-4.2,-7.2,-0.3,2.2
673 Uncoated flat-rolled iron & steel,2020-03,52179.763,43.686,10627.205999999998,209.294,-4.2,-7.2,-0.3,2.2
674 Coated flat-rolled iron & steel,2020-03,32680.111000000004,70.758,39435.505999999994,2142.15,-4.2,-7.2,-0.3,2.2
675 Flat-rolled alloy steel,2020-03,2726.2549999999997,,21172.310000000005,2132.85,-4.2,-7.2,-0.3,2.2
676 Iron & steel bars & rods,2020-03,9325.016999999998,674.274,38318.075000000004,1794.8,-4.2,-7.2,-0.3,2.2
677 Rails of iron or steel,2020-03,4059.7990000000004,,15048.752,1.622,-4.2,-7.2,-0.3,2.2
678 Wire of iron or steel,2020-03,1385.952,,14872.387,3470.67,-4.2,-7.2,-0.3,2.2
679 Tubes & pipes of iron or steel,2020-03,11327.563999999995,165.177,94073.43299999996,21448.81,-4.2,-7.2,-0.3,2.2
681 Silver & platinum,2020-03,19747.385000000002,52.186,19675.445000000003,,-4.2,-7.2,-0.3,2.2
682 Copper,2020-03,243969.972,113814.27,77571.357,15974.17,-4.2,-7.2,-0.3,2.2
683 Nickel,2020-03,13863.012999999999,,10038.36,88.899,-4.2,-7.2,-0.3,2.2
684 Aluminium,2020-03,283102.9710000001,1073.03,111084.23799999998,38177.88,-4.2,-7.2,-0.3,2.2
685 Lead,2020-03,114203.17,,1481.809,,-4.2,-7.2,-0.3,2.2
686 Zinc,2020-03,78512.629,14854.17,8539.842,,-4.2,-7.2,-0.3,2.2
687 Tin,2020-03,52.205,,876.0169999999999,542.651,-4.2,-7.2,-0.3,2.2
689 Other non-ferrous metals,2020-03,26667.700999999997,,4828.749999999999,893.45,-4.2,-7.2,-0.3,2.2
"691 Iron, steel, aluminium structures",2020-03,17761.533000000007,639.776,100079.34999999999,47471.83,-4.2,-7.2,-0.3,2.2
692 Metal containers,2020-03,6405.610000000001,1.2,18501.814,4500.97,-4.2,-7.2,-0.3,2.2
693 Wire products,2020-03,4925.643000000001,240.166,20605.999000000003,5994.58,-4.2,-7.2,-0.3,2.2
"694 Nails, screws, nuts, bolts & rivets",2020-03,13201.926000000005,1125.92,66097.67800000003,21496.73,-4.2,-7.2,-0.3,2.2
695 Hand or machine tools,2020-03,14374.394999999997,231.139,70636.446,12755.34,-4.2,-7.2,-0.3,2.2
696 Cutlery,2020-03,1381.2069999999999,,21728.015000000003,8622.78,-4.2,-7.2,-0.3,2.2
"697 Household equip of base metal, nes",2020-03,2978.046,19.69,53692.877,29315.15,-4.2,-7.2,-0.3,2.2
"699 Manufactures of base metal, nes",2020-03,51131.14300000001,1749.34,188144.24399999998,64363.15,-4.2,-7.2,-0.3,2.2
711 Steam boilers & parts,2020-03,613.463,,2109.707,85.225,-4.2,-7.2,-0.3,2.2
712 Steam & other vapour turbines,2020-03,171.382,,905.2139999999999,,-4.2,-7.2,-0.3,2.2
713 Internal combustion piston engines,2020-03,57495.42099999999,406.106,124637.08099999996,6872.22,-4.2,-7.2,-0.3,2.2
714 Non-electric engines & motors,2020-03,23327.890999999992,531.088,144310.985,1586,-4.2,-7.2,-0.3,2.2
716 Rotating electric plant & parts,2020-03,10341.774999999998,76.538,160355.076,80599.19,-4.2,-7.2,-0.3,2.2
718 Power generating machinery & parts,2020-03,16120.741999999998,820.629,99702.82800000002,24838.1,-4.2,-7.2,-0.3,2.2
721 Agric machinery (excl tractors) & parts,2020-03,12272.525000000001,700.052,67467.85900000001,4344.72,-4.2,-7.2,-0.3,2.2
722 Tractors,2020-03,6280.973999999999,346.925,51341.536,541.901,-4.2,-7.2,-0.3,2.2
723 Civil engineering equipment & parts,2020-03,96124.39900000002,2188.8,391642.69599999994,33991.07,-4.2,-7.2,-0.3,2.2
724 Textile & leather machinery & parts,2020-03,3383.948,813.025,12936.652,823.21,-4.2,-7.2,-0.3,2.2
725 Paper & pulp mill machinery & parts,2020-03,1555.687,,6522.494,1217.43,-4.2,-7.2,-0.3,2.2
726 Printing machinery & parts,2020-03,5043.015,81.348,3080.6200000000003,265.964,-4.2,-7.2,-0.3,2.2
727 Food processing machines & parts,2020-03,11434.831,3737.21,26695.930999999997,1249.69,-4.2,-7.2,-0.3,2.2
728 Specialised machinery & parts,2020-03,65829.789,3139.69,187363.867,30369.98,-4.2,-7.2,-0.3,2.2
731 Machine tools for removing metal,2020-03,4555.5470000000005,716,25411.539999999997,1596.37,-4.2,-7.2,-0.3,2.2
733 Machine tools for working metal,2020-03,408.66400000000004,,5846.445000000001,707.068,-4.2,-7.2,-0.3,2.2
735 Machine tools parts,2020-03,2414.8840000000005,,10153.448999999999,372.096,-4.2,-7.2,-0.3,2.2
737 Metalworking machinery & parts,2020-03,4026.666,35.417,11643.102000000003,2890.25,-4.2,-7.2,-0.3,2.2
741 Heating & cooling equipment & parts,2020-03,29786.578999999998,4519,222519.76899999997,44402.56,-4.2,-7.2,-0.3,2.2
742 Pumps for liquids & parts,2020-03,33842.33799999999,560.733,97929.393,12665.69,-4.2,-7.2,-0.3,2.2
